Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.7478397250175476,0.04244275659322739,0.5559774231910706,0.34046359837055207,13.222439473373706,0.3589913598448038
2,0.9321489143371582,0.021327416375279427,0.2759998071193695,0.21927331387996674,17.122313627561958,0.4514826938509941
3,0.8922680282592773,0.01615284375846386,0.46828421354293825,0.3658661675453186,18.827359450655166,0.5279303307831288
4,0.8368644666671753,0.014272843971848487,0.5554050970077514,0.40968132376670835,19.807652368846924,0.5460323682427406
5,0.6363727140426636,0.013597090169787407,0.6443984985351563,0.2892219816148281,20.295026413965253,0.5504842269420623
6,0.4485010266304016,0.013142595887184144,0.6901449370384216,0.2603917886200361,20.020888740156266,0.5432833871245384
7,1.009717674255371,0.01196585327386856,0.45661232590675355,0.4743086361885071,19.412788710219626,0.5656453758478165
8,0.9956897807121277,0.012368095852434636,0.5273656415939331,0.5225275301933289,20.54570574290162,0.5813281112909316
9,0.9920991563796997,0.010491847842931747,0.6035790872573853,0.6026879906654358,21.43463856054627,0.6072721827030182
10,0.9953165817260742,0.010653280653059483,0.5799022698402405,0.5782549238204956,21.548244525515994,0.6025356751680374
11,1.0105881309509277,0.009415861256420612,0.6144381260871887,0.6221862363815308,21.680594437879662,0.6213094663619995
12,1.010894536972046,0.00901729516685009,0.5914024782180786,0.6020669102668762,21.644266975643255,0.628396883904934
13,1.0098163080215454,0.009505993239581585,0.6623147535324097,0.6635361623764038,22.066381856842412,0.6377124005556106
14,0.993438777923584,0.008556793481111526,0.6640359401702881,0.6581863832473754,21.42686864019122,0.6376420998573303
15,0.998063063621521,0.009444461986422539,0.6110787391662598,0.6115170955657959,21.76054589170611,0.6344262996315956
16,1.0011504864692689,0.009065123982727527,0.566258282661438,0.5681932783126831,22.377702943934437,0.6549517676234246
17,1.0104833984375,0.008518238905817271,0.5537221932411194,0.5648109436035156,22.75109620709411,0.6633421051502227
18,0.988593692779541,0.010101345404982566,0.5479638791084289,0.5417170882225036,19.88282679451712,0.6411634027957916
19,1.0096548175811768,0.008652941398322582,0.5903479862213135,0.5987987518310547,22.03437880089851,0.6667711892724038
20,1.0016039276123048,0.008140138164162636,0.6316422367095947,0.6370214605331421,21.944330341366648,0.6383783453702927
21,1.0043529057502747,0.009254941008985043,0.5776853060722351,0.5746406507492066,21.48009706275146,0.661551550924778
22,1.0069966650009154,0.008768731318414212,0.5433586096763611,0.5560697889328003,20.226988784320067,0.6700781580805778
23,0.999383749961853,0.008419105391949415,0.6045354223251342,0.6064606261253357,22.5644350183334,0.6893877577781677
24,0.9992999482154846,0.007307065576314926,0.6044838619232178,0.5994559621810913,22.68978373501607,0.6858348727226258
25,1.004686589241028,0.007136919107288122,0.5787672448158264,0.5847673082351684,23.441757239908455,0.6904577025771141
26,1.0068741512298585,0.007301126532256603,0.5716669034957885,0.5732077693939209,23.410542601470738,0.6922924399375916
27,1.0023667335510253,0.006928199753165245,0.7478630876541138,0.7521109867095948,22.469325850777544,0.6816510519385338
28,1.005500111579895,0.007234296873211861,0.7413646674156189,0.7511991477012634,23.250829641073594,0.6978917661309242
29,0.9926250219345093,0.0074864341877400875,0.7302165365219117,0.7287841725349427,22.60171834406526,0.6923824238777161
30,1.0001456260681152,0.0080430331453681,0.7512021875381469,0.7558229064941406,21.09772714790442,0.6821234732866287
31,1.0008738660812377,0.008093271702528,0.9635197639465332,0.9644717335700989,21.229906982586463,0.65600690305233
32,1.0000005221366883,0.007971051055938006,0.9999948978424072,0.9999950504302979,23.125419942391844,0.6861343422532081
33,0.9999988317489624,0.00693721640855074,0.9999968218803406,0.9999959564208984,23.70729961046287,0.7092438691854477
34,1.0000008749961853,0.007169173695147037,0.9999977159500122,0.999998128414154,22.81052206402905,0.6980249592661858
35,0.9999993991851807,0.006480346471071243,0.9999985170364379,0.9999978756904602,22.66355111526693,0.6988226798176765
36,1.0000003862380982,0.006238410454243421,0.9999980306625367,0.9999985599517822,23.405900918934964,0.7115675607323646
37,0.9999999618530273,0.006575720645487309,0.9999993705749511,0.9999992346763611,22.526997358576377,0.7118333894014358
38,1.0000008535385132,0.006430007293820381,0.999997546672821,0.9999980616569519,23.534853950498068,0.7158041867613792
39,1.0000004482269287,0.0068892909958958625,0.9999985980987549,0.9999990272521972,22.6795542001595,0.6950374585390091
40,1.0000000858306886,0.006291321124881506,0.999998574256897,0.999998791217804,23.843195321323574,0.7185963705182076
41,0.9999988889694214,0.006319597102701664,0.9999988126754761,0.9999981379508972,23.51626511870751,0.718799270093441
42,0.9999998998641968,0.006043298877775669,0.999998288154602,0.9999988555908204,22.696319254361512,0.7063545498251915
43,0.9999982690811158,0.006505892984569073,0.9999989128112793,0.99999755859375,23.327188836804797,0.7221674698591233
44,1.0000010204315186,0.0059492730721831324,0.9999961137771607,0.9999969673156738,23.392760153545762,0.6956293871998787
45,1.000000033378601,0.0056917559541761874,0.9999982643127442,0.999997832775116,22.78667304365285,0.7143548014760017
46,0.9999994087219238,0.005375165659934282,0.9999976301193237,0.9999973559379578,23.83464194906338,0.7236853411793709
47,1.0000002908706664,0.005938930772244931,0.9999979543685913,0.9999976682662964,21.578022576751614,0.7187007451057434
48,0.9999997997283936,0.005817151498049498,0.9999985980987549,0.9999982357025147,23.55270064954272,0.7271699011325836
49,0.9999995017051697,0.005762541405856609,0.9999975728988647,0.9999964761734009,23.149123540650763,0.7213297519087791
50,1.0000006675720214,0.005322335287928581,0.9999972867965699,0.9999978065490722,23.846805343340456,0.7250996363162995
51,1.0000008249282837,0.005263969451189041,0.9999980115890503,0.9999983358383179,24.22865003114552,0.7259343549609184
52,1.000000228881836,0.00567148756235838,0.9999973440170288,0.999997935295105,23.819036296110596,0.7256085214018821
53,1.0000007438659668,0.005329139642417431,0.9999974632263183,0.9999983978271484,24.064281599410098,0.7155340230464935
54,0.9999989795684815,0.00575595585629344,0.9999985408782959,0.9999979591369629,24.376316509674215,0.7278146770596504
55,1.0000001192092896,0.005242130681872368,0.9999984264373779,0.9999982333183288,23.75515203913885,0.7233105111122131
56,0.9999994039535522,0.005926148798316717,0.999998745918274,0.99999840259552,23.42665244605126,0.729955667257309
57,0.9999996995925904,0.005763987302780152,0.999998345375061,0.9999982929229736,23.478878277499405,0.7234241333603859
58,0.9999995470046997,0.005585607811808586,0.999997034072876,0.9999968576431274,24.175532345642875,0.7283600854873657
59,0.9999986791610718,0.005401267446577549,0.9999977445602417,0.9999977350234985,24.046941659788036,0.7242674848437309
60,1.0000027346611022,0.0048483660817146305,0.9999949717521668,0.9999967503547669,24.050922156300018,0.7280536302924157
61,0.9999962234497071,0.005098109301179647,0.999998550415039,0.999997365474701,23.80831675000783,0.7282893380522728
62,0.9999999046325684,0.005400379355996847,0.9999960374832153,0.9999966335296631,24.072533407596453,0.7269632321596146
63,0.9999998664855957,0.0053913574106991295,0.999997878074646,0.9999976563453674,24.052978147267087,0.7272839358448983
64,0.9999987745285034,0.005729390904307365,0.9999986171722413,0.9999974489212036,23.627956855416357,0.7284538212418556
